window_id,split,lake_name,target_datetime,length,window_days,target_raw,target_transformed,ice_prev_m,ice_prev_gap_days,Air_Temperature_celsius,ice_prev_available,coeff_shape
train_000048,train,【Huo】Lake Hnagzhang,2021-01-19 00:00:00,46,45,0.335999995470047,0.335999995470047,0.337999999523162,1.0,-14.4695190429687,1.0,"(1, 45, 52)"
train_000049,train,【Huo】Lake Hnagzhang,2021-01-20 00:00:00,46,45,0.342000007629394,0.34200000762939453,0.335999995470047,1.0,1.32158813476564,1.0,"(1, 45, 52)"
train_000050,train,【Huo】Lake Hnagzhang,2021-01-21 00:00:00,46,45,0.345999985933303,0.34599998593330383,0.342000007629394,1.0,-0.179174804687477,1.0,"(1, 45, 52)"
train_000051,train,【Huo】Lake Hnagzhang,2021-01-22 00:00:00,46,45,0.354000002145767,0.3540000021457672,0.345999985933303,1.0,-5.94742431640622,1.0,"(1, 45, 52)"
train_000052,train,【Huo】Lake Hnagzhang,2021-01-23 00:00:00,46,45,0.354000002145767,0.3540000021457672,0.354000002145767,1.0,-9.36786499023435,1.0,"(1, 45, 52)"
train_000053,train,【Huo】Lake Hnagzhang,2021-01-24 00:00:00,46,45,0.351999998092651,0.35199999809265137,0.354000002145767,1.0,-3.25748291015622,1.0,"(1, 45, 52)"
train_000054,train,【Huo】Lake Hnagzhang,2021-01-25 00:00:00,46,45,0.354000002145767,0.3540000021457672,0.351999998092651,1.0,-3.11832275390622,1.0,"(1, 45, 52)"
train_000055,train,【Huo】Lake Hnagzhang,2021-01-26 00:00:00,46,45,0.351999998092651,0.35199999809265137,0.354000002145767,1.0,-3.71292724609372,1.0,"(1, 45, 52)"
train_000056,train,【Huo】Lake Hnagzhang,2021-01-27 00:00:00,46,45,0.347999989986419,0.3479999899864197,0.351999998092651,1.0,-7.08023681640622,1.0,"(1, 45, 52)"
train_000057,train,【Huo】Lake Hnagzhang,2021-01-28 00:00:00,46,45,0.347999989986419,0.3479999899864197,0.347999989986419,1.0,-8.08869018554685,1.0,"(1, 45, 52)"
train_000058,train,【Huo】Lake Hnagzhang,2021-01-29 00:00:00,46,45,0.34400001168251,0.3440000116825104,0.347999989986419,1.0,-13.3952087402343,1.0,"(1, 45, 52)"
train_000059,train,【Huo】Lake Hnagzhang,2021-01-30 00:00:00,46,45,0.342000007629394,0.34200000762939453,0.34400001168251,1.0,-8.40860595703122,1.0,"(1, 45, 52)"
train_000060,train,【Huo】Lake Hnagzhang,2021-01-31 00:00:00,46,45,0.34400001168251,0.3440000116825104,0.342000007629394,1.0,-9.81638183593747,1.0,"(1, 45, 52)"
train_000061,train,【Huo】Lake Hnagzhang,2021-02-01 00:00:00,46,45,0.342000007629394,0.34200000762939453,0.34400001168251,1.0,-7.2426818847656,1.0,"(1, 45, 52)"
train_000062,train,【Huo】Lake Hnagzhang,2021-02-02 00:00:00,46,45,0.345999985933303,0.34599998593330383,0.342000007629394,1.0,-13.7493957519531,1.0,"(1, 45, 52)"
train_000063,train,【Huo】Lake Hnagzhang,2021-02-03 00:00:00,46,45,0.345999985933303,0.34599998593330383,0.345999985933303,1.0,-11.3532470703124,1.0,"(1, 45, 52)"
train_000064,train,【Huo】Lake Hnagzhang,2021-02-04 00:00:00,46,45,0.351999998092651,0.35199999809265137,0.345999985933303,1.0,-6.12531127929685,1.0,"(1, 45, 52)"
train_000065,train,【Huo】Lake Hnagzhang,2021-02-05 00:00:00,46,45,0.354000002145767,0.3540000021457672,0.351999998092651,1.0,0.0494323730468977,1.0,"(1, 45, 52)"
train_000066,train,【Huo】Lake Hnagzhang,2021-02-06 00:00:00,46,45,0.354000002145767,0.3540000021457672,0.354000002145767,1.0,-2.5835021972656,1.0,"(1, 45, 52)"
train_000067,train,【Huo】Lake Hnagzhang,2021-02-07 00:00:00,46,45,0.351999998092651,0.35199999809265137,0.354000002145767,1.0,-5.06998291015622,1.0,"(1, 45, 52)"
train_000068,train,【Huo】Lake Hnagzhang,2021-02-08 00:00:00,46,45,0.351999998092651,0.35199999809265137,0.351999998092651,1.0,-6.4598449707031,1.0,"(1, 45, 52)"
train_000069,train,【Huo】Lake Hnagzhang,2021-02-09 00:00:00,46,45,0.354000002145767,0.3540000021457672,0.351999998092651,1.0,-2.3973449707031,1.0,"(1, 45, 52)"
