observation_id,lake_name,lake_id,sample_datetime,latitude,longitude,total_ice_m,coordinate_source,source_workbook
xxkh_0042,【Li】Lake Xiaoxingkai,1285.0,2026-01-29 12:00:00,45.33333333333334,132.5833333333333,0.7253,table_latlon,LakeIce_ERA5_less60_XiaoxingkaiDaily12.xlsx
xxkh_0043,【Li】Lake Xiaoxingkai,1285.0,2026-01-30 12:00:00,45.33333333333334,132.5833333333333,0.7319,table_latlon,LakeIce_ERA5_less60_XiaoxingkaiDaily12.xlsx
xxkh_0044,【Li】Lake Xiaoxingkai,1285.0,2026-01-31 12:00:00,45.33333333333334,132.5833333333333,0.7372,table_latlon,LakeIce_ERA5_less60_XiaoxingkaiDaily12.xlsx
xxkh_0045,【Li】Lake Xiaoxingkai,1285.0,2026-02-01 12:00:00,45.33333333333334,132.5833333333333,0.7411,table_latlon,LakeIce_ERA5_less60_XiaoxingkaiDaily12.xlsx
xxkh_0046,【Li】Lake Xiaoxingkai,1285.0,2026-02-02 12:00:00,45.33333333333334,132.5833333333333,0.7451,table_latlon,LakeIce_ERA5_less60_XiaoxingkaiDaily12.xlsx
xxkh_0047,【Li】Lake Xiaoxingkai,1285.0,2026-02-03 12:00:00,45.33333333333334,132.5833333333333,0.7477,table_latlon,LakeIce_ERA5_less60_XiaoxingkaiDaily12.xlsx
xxkh_0048,【Li】Lake Xiaoxingkai,1285.0,2026-02-04 12:00:00,45.33333333333334,132.5833333333333,0.7532,table_latlon,LakeIce_ERA5_less60_XiaoxingkaiDaily12.xlsx
xxkh_0049,【Li】Lake Xiaoxingkai,1285.0,2026-02-05 12:00:00,45.33333333333334,132.5833333333333,0.756,table_latlon,LakeIce_ERA5_less60_XiaoxingkaiDaily12.xlsx
xxkh_0050,【Li】Lake Xiaoxingkai,1285.0,2026-02-06 12:00:00,45.33333333333334,132.5833333333333,0.7586,table_latlon,LakeIce_ERA5_less60_XiaoxingkaiDaily12.xlsx
xxkh_0051,【Li】Lake Xiaoxingkai,1285.0,2026-02-07 12:00:00,45.33333333333334,132.5833333333333,0.7631,table_latlon,LakeIce_ERA5_less60_XiaoxingkaiDaily12.xlsx
xxkh_0052,【Li】Lake Xiaoxingkai,1285.0,2026-02-08 12:00:00,45.33333333333334,132.5833333333333,0.7684,table_latlon,LakeIce_ERA5_less60_XiaoxingkaiDaily12.xlsx
xxkh_0053,【Li】Lake Xiaoxingkai,1285.0,2026-02-09 12:00:00,45.33333333333334,132.5833333333333,0.7737,table_latlon,LakeIce_ERA5_less60_XiaoxingkaiDaily12.xlsx
xxkh_0054,【Li】Lake Xiaoxingkai,1285.0,2026-02-10 12:00:00,45.33333333333334,132.5833333333333,0.7793,table_latlon,LakeIce_ERA5_less60_XiaoxingkaiDaily12.xlsx
xxkh_0055,【Li】Lake Xiaoxingkai,1285.0,2026-02-11 12:00:00,45.33333333333334,132.5833333333333,0.7846,table_latlon,LakeIce_ERA5_less60_XiaoxingkaiDaily12.xlsx
xxkh_0056,【Li】Lake Xiaoxingkai,1285.0,2026-02-12 12:00:00,45.33333333333334,132.5833333333333,0.7888,table_latlon,LakeIce_ERA5_less60_XiaoxingkaiDaily12.xlsx
